col-1 : x.pg176_o2nofp.x10a_c24r64.pk1
col-2 : x.pg180_o2nofp.x10b_c24r64.pk1
col-3 : x.pg180_o2nofp.x10c_c24r64.pk1
col-4 : x.pg180_o2nofp.x10d_c24r64.pk1

col-1	col-2	col-3	col-4
87597	87505	87157	87305	hot-points_range=100
336000	331520	330610	335244	point-query_range=100
26762	26343	26586	26374	points-covered-pk_range=100
26705	26331	26399	26162	points-covered-si_range=100
21323	20765	21017	20811	points-notcovered-pk_range=100
20765	20388	20527	20185	points-notcovered-si_range=100
2404	2355	2379	2355	random-points_range=1000
21537	20987	21264	21038	random-points_range=100
149799	148094	148388	147226	random-points_range=10
136914	134502	134701	135094	range-covered-pk_range=100
130245	128138	128147	127970	range-covered-si_range=100
68174	66621	67509	66895	range-notcovered-pk_range=100
50121	50278	50981	49859	range-notcovered-si_range=100
14052	13929	14112	13817	read-only-count_range=1000
58121	57081	57128	57044	read-only-distinct_range=1000
63125	61323	61318	60892	read-only-order_range=1000
2775	2683	2724	2704	read-only_range=10000
162289	158441	160027	158770	read-only_range=100
272712	269968	270259	270082	read-only_range=10
99852	98072	99118	98380	read-only-simple_range=1000
133549	131490	133027	131289	read-only-sum_range=1000
2238	2268	2260	2266	scan_range=100
2265	2266	2287	2272	scan.warm_range=100
305606	302325	303104	301366	delete_range=100
180059	178100	177507	178562	insert_range=100
164774	161628	162215	162051	read-write_range=100
248024	246478	247425	245493	read-write_range=10
172099	169630	169394	167727	update-index_range=100
51705	51028	51268	51653	update-inlist_range=100
206802	205871	200457	204768	update-nonindex_range=100
77310	75348	77592	75692	update-one_range=100
219134	219414	217416	220587	update-zipf_range=100
249374	243525	243399	240874	write-only_range=10000
