col-1 : x.my8013_rel.z10a_bee.pk1
col-2 : x.my8014_rel.z10a_bee.pk1
col-3 : x.my8020_rel.z10a_bee.pk1
col-4 : x.my8028_rel.z10a_bee.pk1
col-5 : x.my8035_rel.z10a_bee.pk1
col-6 : x.my8036_rel.z10a_bee.pk1

col-1	col-2	col-3	col-4	col-5	col-6
1673	1631	1571	1401	1528	1539	hot-points_range=100
17000	16538	15946	16571	15330	15094	point-query.pre_range=100
16943	16626	16017	16475	15381	15150	point-query_range=100
1211	1188	1127	1072	1132	1136	points-covered-pk.pre_range=100
1209	1186	1131	1078	1138	1139	points-covered-pk_range=100
1392	1359	1315	1231	1311	1322	points-covered-si.pre_range=100
1351	1322	1272	1195	1272	1278	points-covered-si_range=100
1154	1138	1079	1029	1084	1087	points-notcovered-pk.pre_range=100
1153	1137	1082	1028	1089	1089	points-notcovered-pk_range=100
777	756	723	723	731	739	points-notcovered-si.pre_range=100
759	743	705	707	712	719	points-notcovered-si_range=100
135	133	128	55	129	129	random-points.pre_range=1000
1166	1145	1086	1037	1092	1100	random-points.pre_range=100
6330	6289	5901	6284	5864	5905	random-points.pre_range=10
135	133	129	55	129	130	random-points_range=1000
1167	1144	1090	1040	1101	1106	random-points_range=100
6301	6283	5919	6293	5908	5944	random-points_range=10
6595	6319	6157	6085	5658	5647	range-covered-pk.pre_range=100
6575	6326	6162	6080	5666	5647	range-covered-pk_range=100
7027	6789	6675	6550	6070	5994	range-covered-si.pre_range=100
6956	6738	6635	6519	6065	5983	range-covered-si_range=100
5400	5404	5401	5240	5094	5038	range-notcovered-pk.pre_range=100
5404	5402	5402	5249	5103	5003	range-notcovered-pk_range=100
1454	1415	1359	1456	1353	1359	range-notcovered-si.pre_range=100
1453	1416	1360	1458	1354	1363	range-notcovered-si_range=100
323	320	320	305	291	289	read-only.pre_range=10000
10018	9810	9556	9496	8739	8712	read-only.pre_range=100
13759	13469	12882	12997	11923	11922	read-only.pre_range=10
322	319	321	305	292	289	read-only_range=10000
9972	9820	9571	9481	8765	8754	read-only_range=100
13744	13462	12914	12989	11962	11948	read-only_range=10
3.106	2.632	2.794	2.618	2.269	2.113	scan_range=100
7455	7317	6942	6597	6062	5998	delete_range=100
7481	7385	7010	6237	5604	5568	insert_range=100
8926	8624	8343	8362	7679	7663	read-write_range=100
11288	10728	10272	10572	9630	9651	read-write_range=10
2136	2299	2551	2688	2259	2270	update-index_range=100
3275	3226	2986	3013	2665	2668	update-inlist_range=100
6880	6719	6254	6097	5541	5520	update-nonindex_range=100
7149	6983	6458	6205	5680	5662	update-one_range=100
6954	6757	6311	6107	5547	5527	update-zipf_range=100
10052	9934	9327	9281	8089	8065	write-only_range=10000
