Relative to: x.pg174_o2nofp.x10a_c32r128.pk1
col-1 : x.pg175_o2nofp.x10a_c32r128.pk1
col-2 : x.pg18beta1_o2nofp.x10b_c32r128.pk1
col-3 : x.pg18beta1_o2nofp.x10cw4_c32r128.pk1
col-4 : x.pg18beta1_o2nofp.x10d_c32r128.pk1
col-5 : x.pg18beta2_o2nofp.x10b_c32r128.pk1
col-6 : x.pg18beta2_o2nofp.x10cw4_c32r128.pk1
col-7 : x.pg18beta2_o2nofp.x10d_c32r128.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7
1.00	1.01	1.00	1.01	0.99	1.01	0.97	hot-points_range=100
1.01	1.01	0.99	1.00	1.00	1.00	0.99	point-query_range=100
1.00	1.00	1.00	1.01	1.01	1.02	1.00	points-covered-pk_range=100
1.01	1.01	1.01	1.01	1.02	1.02	1.01	points-covered-si_range=100
1.00	1.01	1.00	1.00	1.02	1.00	1.00	points-notcovered-pk_range=100
1.01	1.01	1.01	1.01	1.01	1.02	1.01	points-notcovered-si_range=100
1.02	1.01	1.01	1.02	1.03	1.02	1.01	random-points_range=1000
1.00	1.00	1.00	1.01	1.02	1.01	1.01	random-points_range=100
1.02	1.01	1.00	1.01	1.02	1.01	1.00	random-points_range=10
0.97	0.95	0.95	0.96	0.97	0.96	0.94	range-covered-pk_range=100
0.97	0.95	0.96	0.96	0.98	0.96	0.95	range-covered-si_range=100
1.00	0.99	0.98	0.98	0.98	0.98	0.97	range-notcovered-pk_range=100
0.99	0.98	0.98	0.97	0.99	0.98	0.98	range-notcovered-si_range=100
0.99	0.97	0.97	0.98	1.00	1.00	1.00	read-only-count_range=1000
1.01	0.99	0.98	0.99	0.93	0.99	1.00	read-only-distinct_range=1000
1.01	0.99	0.99	0.99	0.94	0.99	0.99	read-only-order_range=1000
1.01	1.00	1.01	1.00	1.01	1.01	1.00	read-only_range=10000
1.00	0.98	0.98	0.98	0.99	0.99	0.97	read-only_range=100
0.99	0.98	0.97	0.98	0.98	0.98	0.96	read-only_range=10
1.00	1.00	1.00	1.00	1.00	1.00	0.98	read-only-simple_range=1000
1.00	1.00	0.99	1.00	1.00	1.00	0.99	read-only-sum_range=1000
1.04	1.06	1.08	1.06	1.06	1.06	1.06	scan_range=100
1.04	1.06	1.12	1.06	1.07	1.06	1.06	scan.warm_range=100
0.99	1.00	0.98	0.99	0.99	0.99	0.97	delete_range=100
1.01	0.99	0.97	0.97	1.00	0.97	0.98	insert_range=100
1.00	0.99	0.98	0.99	0.99	0.98	0.97	read-write_range=100
1.00	0.98	0.97	0.98	0.98	0.98	0.97	read-write_range=10
1.01	1.00	0.99	0.98	1.00	1.00	0.98	update-index_range=100
1.00	0.99	0.99	0.98	0.99	1.00	0.99	update-inlist_range=100
1.00	0.99	0.98	0.96	0.98	0.98	0.96	update-nonindex_range=100
1.00	0.99	0.97	0.96	0.98	0.99	0.96	update-one_range=100
1.00	0.99	0.98	0.97	0.99	0.98	0.97	update-zipf_range=100
1.00	0.99	0.98	0.98	0.99	0.99	0.98	write-only_range=10000
