Relative to: x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.ia1_c8r32.pk1
col-1 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.ia1_100_c8r32.pk1
col-2 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.ia1_1000_c8r32.pk1
col-3 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_statinc.ia1_c8r32.pk1
col-4 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1482_opttime.ia1_c8r32.pk1
col-5 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1506_innoacl.ia1_c8r32.pk1
col-6 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.ia1_c8r32.pk1
col-7 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.ia1_100_c8r32.pk1
col-8 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.ia1_1000_c8r32.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8
1.04	1.03	1.02	1.02	1.05	1.05	1.06	1.05	hot-points_range=100
0.98	1.00	0.98	1.04	1.00	1.03	1.06	1.05	point-query_range=100
1.01	1.01	0.99	1.00	1.02	1.03	1.03	1.03	points-covered-pk_range=100
1.01	1.01	1.00	0.99	1.03	1.04	1.05	1.04	points-covered-si_range=100
1.02	1.01	0.99	1.01	1.02	1.02	1.03	1.02	points-notcovered-pk_range=100
1.03	1.01	0.97	1.01	1.02	1.02	1.03	1.03	points-notcovered-si_range=100
1.02	1.02	0.99	1.01	1.03	1.02	1.03	1.02	random-points_range=1000
1.02	1.00	0.99	1.00	1.01	1.02	1.02	1.02	random-points_range=100
1.01	1.00	0.99	1.01	1.00	1.01	1.03	1.03	random-points_range=10
1.02	1.02	1.02	1.02	1.06	1.08	1.10	1.10	range-covered-pk_range=100
1.01	1.02	1.01	1.01	1.06	1.08	1.10	1.09	range-covered-si_range=100
1.02	1.02	1.02	1.01	1.05	1.07	1.09	1.09	range-notcovered-pk_range=100
1.00	0.99	0.99	1.00	1.01	1.01	1.02	1.02	range-notcovered-si_range=100
1.04	1.06	1.03	1.01	1.08	1.11	1.13	1.13	read-only_range=10000
1.02	1.01	1.02	1.04	1.03	1.07	1.08	1.08	read-only_range=100
1.00	1.00	1.01	1.04	1.01	1.04	1.05	1.05	read-only_range=10
1.04	1.04	1.07	0.96	1.22	1.24	1.30	1.29	scan_range=100
1.01	1.00	0.99	0.99	1.00	0.99	1.00	1.00	delete_range=100
1.01	1.01	1.00	1.00	1.00	1.00	1.01	1.00	insert_range=100
1.01	1.01	1.01	1.03	1.02	1.05	1.07	1.06	read-write_range=100
1.00	1.00	1.01	1.03	1.01	1.03	1.05	1.04	read-write_range=10
1.00	1.01	1.00	1.00	0.99	1.00	0.99	1.00	update-index_range=100
1.00	1.00	1.00	1.00	1.00	1.01	1.02	1.02	update-inlist_range=100
1.01	1.01	1.00	1.00	1.01	1.00	1.01	1.01	update-nonindex_range=100
1.01	1.00	1.00	1.00	1.01	1.00	1.00	1.00	update-one_range=100
1.01	1.01	1.01	1.00	1.00	0.99	1.01	1.00	update-zipf_range=100
1.01	1.00	1.00	1.00	1.00	0.99	1.01	1.00	write-only_range=10000
