hot-points_range=100,1.09,1.06,0.68,0.99,1.01,1.04,1.13,1.09,1.10
point-query_range=100,1.00,0.98,0.99,0.93,0.92,0.91,0.91,0.91,0.91
points-covered-pk_range=100,1.02,1.01,1.01,0.93,0.84,0.85,0.85,0.85,0.86
points-covered-si_range=100,1.04,1.02,0.82,1.03,1.09,0.90,0.97,0.97,0.97
points-notcovered-pk_range=100,1.02,1.01,1.01,0.93,0.84,0.85,0.85,0.85,0.85
points-notcovered-si_range=100,1.03,1.02,0.97,0.86,0.74,0.74,0.74,0.74,0.75
random-points_range=1000,1.02,1.02,1.01,0.92,0.84,0.84,0.84,0.84,0.85
random-points_range=100,1.02,1.01,1.01,0.93,0.84,0.85,0.85,0.85,0.85
random-points_range=10,1.02,1.01,1.00,0.93,0.87,0.86,0.87,0.87,0.87
range-covered-pk_range=100,1.01,0.98,0.98,0.93,0.92,0.91,0.91,0.91,0.91
range-covered-si_range=100,0.98,0.92,0.85,0.89,0.98,0.96,0.94,0.93,0.93
range-notcovered-pk_range=100,1.01,0.98,0.98,0.93,0.92,0.91,0.91,0.91,0.90
range-notcovered-si_range=100,1.02,1.02,1.01,0.94,0.85,0.86,0.86,0.86,0.86
read-only-count_range=1000,1.01,1.00,0.99,0.93,0.88,0.87,0.88,0.87,0.88
read-only-distinct_range=1000,1.00,0.98,0.99,0.95,0.94,0.93,0.93,0.92,0.92
read-only-order_range=1000,1.01,0.98,0.98,0.94,0.92,0.91,0.91,0.91,0.91
read-only_range=10000,1.03,1.01,0.93,0.85,0.80,0.80,0.80,0.80,0.80
read-only_range=100,1.00,0.98,0.98,0.93,0.92,0.91,0.91,0.91,0.91
read-only_range=10,1.00,0.97,0.98,0.93,0.92,0.92,0.91,0.91,0.91
read-only-simple_range=1000,1.01,0.99,0.99,0.93,0.91,0.89,0.90,0.89,0.90
read-only-sum_range=1000,1.01,0.99,0.99,0.93,0.90,0.90,0.90,0.90,0.90
scan_range=100,1.11,1.14,0.93,0.65,0.64,0.78,0.77,0.77,0.77
scan.warm_range=100,1.11,1.13,1.04,0.64,0.63,0.75,0.74,0.75,0.75
delete_range=100,1.07,1.04,0.60,1.30,1.21,1.15,1.18,1.18,1.22
insert_range=100,1.07,1.07,0.89,0.98,1.33,1.34,1.35,1.36,1.36
read-write_range=100,0.76,0.75,0.03,0.96,0.94,0.93,0.93,0.93,0.96
read-write_range=10,0.71,0.71,0.00,0.92,0.97,0.99,0.97,0.98,1.01
update-index_range=100,0.99,0.99,0.48,0.87,0.93,1.14,1.13,1.15,1.21
update-inlist_range=100,0.99,0.98,0.66,1.13,1.00,1.00,1.02,1.02,1.06
update-nonindex_range=100,7.37,7.39,4.55,9.13,8.93,8.19,8.48,8.34,10.06
update-one_range=100,1.21,1.20,1.13,1.31,1.35,1.35,1.33,1.33,1.34
update-zipf_range=100,1.17,1.16,0.84,1.15,1.38,1.36,1.37,1.37,1.40
write-only_range=10000,0.55,0.55,0.39,0.78,0.99,1.47,1.58,1.58,1.57
