col-1 : x.ma120101_rel_withdbg.z12b_c32r128.pk1
col-2 : x.my8406_rel_o2nofp.z12a_c32r128.pk1
col-3 : x.pg180_o2nofp.x10b_c32r128.pk1

col-1	col-2	col-3
81452	58734	284565	hot-points_range=100
828247	733127	1056784	point-query_range=100
25916	57122	90737	points-covered-pk_range=100
63243	58612	89895	points-covered-si_range=100
25933	55614	71694	points-notcovered-pk_range=100
18329	33366	70615	points-notcovered-si_range=100
2614	5878	7930	random-points_range=1000
25937	55939	72962	random-points_range=100
250161	325716	472548	random-points_range=10
424532	382928	403267	range-covered-pk_range=100
428131	414873	400537	range-covered-si_range=100
384755	340652	188403	range-notcovered-pk_range=100
24319	58587	162538	range-notcovered-si_range=100
152150	127502	29349	read-only-count_range=1000
304502	289879	167211	read-only-distinct_range=1000
401430	384189	172447	read-only-order_range=1000
19984	15384	7308	read-only_range=10000
587617	539147	468790	read-only_range=100
717449	654966	844430	read-only_range=10
509702	464411	239790	read-only-simple_range=1000
632120	564946	299905	read-only-sum_range=1000
3579	4358	2876	scan_range=100
3668	4306	2878	scan.warm_range=100
475727	242234	884127	delete_range=100
153660	115568	355384	insert_range=100
510664	366884	488063	read-write_range=100
578769	401864	733432	read-write_range=10
109074	79640	347005	update-index_range=100
65015	50451	125151	update-inlist_range=100
148976	103634	431250	update-nonindex_range=100
84299	64854	98155	update-one_range=100
148707	103617	432954	update-zipf_range=100
384152	265140	614572	write-only_range=10000
