Relative to: x.my5651_rel_o2nofp.z12a_c32r128.pk1
col-1 : x.my5744_rel_o2nofp.z12a_c32r128.pk1
col-2 : x.my8044_rel_o2nofp.z12a_c32r128.pk1
col-3 : x.my8407_rel_o2nofp.z12a_c32r128.pk1
col-4 : x.my9500_rel_o2nofp.z12a_c32r128.pk1

col-1	col-2	col-3	col-4
2.76	2.18	2.23	2.30	hot-points_range=100
0.94	0.87	0.86	0.85	point-query_range=100
0.97	0.98	0.97	0.97	points-covered-pk_range=100
0.87	0.79	0.80	0.81	points-covered-si_range=100
0.97	0.98	0.97	0.97	points-notcovered-pk_range=100
0.97	0.97	0.97	0.96	points-notcovered-si_range=100
0.98	0.99	0.98	0.98	random-points_range=1000
0.97	0.98	0.97	0.97	random-points_range=100
0.96	0.96	0.95	0.94	random-points_range=10
0.94	0.91	0.89	0.89	range-covered-pk_range=100
0.91	0.80	0.77	0.77	range-covered-si_range=100
0.93	0.89	0.88	0.88	range-notcovered-pk_range=100
0.98	0.99	0.98	0.97	range-notcovered-si_range=100
0.96	0.95	0.94	0.94	read-only-count_range=1000
1.28	1.23	1.22	1.21	read-only-distinct_range=1000
1.07	1.02	1.01	1.01	read-only-order_range=1000
1.12	1.03	1.03	1.02	read-only_range=10000
1.04	0.99	0.98	0.97	read-only_range=100
1.02	0.96	0.95	0.94	read-only_range=10
0.95	0.91	0.90	0.90	read-only-simple_range=1000
0.95	0.91	0.90	0.90	read-only-sum_range=1000
0.75	0.70	0.70	0.70	scan_range=100
0.75	0.70	0.69	0.69	scan.warm_range=100
1.49	2.22	2.19	2.15	delete_range=100
2.58	2.49	2.41	2.09	insert_range=100
2.82	2.70	2.66	2.65	read-write_range=100
2.44	2.41	2.39	2.38	read-write_range=10
3.14	3.89	3.64	3.60	update-index_range=100
1.18	1.49	1.46	1.39	update-inlist_range=100
2.09	2.46	2.51	2.46	update-nonindex_range=100
1.31	1.36	1.34	1.26	update-one_range=100
2.60	2.71	2.63	2.53	update-zipf_range=100
1.72	2.57	2.46	2.46	write-only_range=10000
