hot-points_range=100,0.87,0.66,0.65,0.65
point-query_range=100,0.87,0.68,0.67,0.65
points-covered-pk_range=100,0.88,0.73,0.73,0.72
points-covered-si_range=100,0.90,0.80,0.79,0.79
points-notcovered-pk_range=100,0.88,0.74,0.74,0.73
points-notcovered-si_range=100,0.89,0.77,0.77,0.77
random-points_range=1000,1.00,0.86,0.86,0.84
random-points_range=100,0.89,0.74,0.73,0.73
random-points_range=10,0.88,0.69,0.69,0.68
range-covered-pk_range=100,0.83,0.68,0.69,0.68
range-covered-si_range=100,0.84,0.70,0.71,0.70
range-notcovered-pk_range=100,0.86,0.68,0.68,0.66
range-notcovered-si_range=100,0.89,0.74,0.75,0.75
read-only-count_range=1000,0.85,0.69,0.69,0.70
read-only-distinct_range=1000,1.42,1.26,1.24,1.26
read-only-order_range=1000,0.92,0.76,0.75,0.76
read-only_range=10000,1.23,1.01,1.01,1.03
read-only_range=100,0.93,0.77,0.76,0.76
read-only_range=10,0.86,0.70,0.68,0.68
read-only-simple_range=1000,0.84,0.68,0.68,0.68
read-only-sum_range=1000,0.83,0.68,0.67,0.67
scan_range=100,0.86,0.69,0.68,0.69
scan.warm_range=100,0.86,0.68,0.66,0.69
delete_range=100,0.83,0.60,0.59,0.59
insert_range=100,0.82,0.56,0.55,0.56
read-write_range=100,0.93,0.75,0.74,0.74
read-write_range=10,0.87,0.69,0.68,0.67
update-index_range=100,1.17,0.87,0.87,0.87
update-inlist_range=100,1.05,0.74,0.73,0.73
update-nonindex_range=100,0.85,0.61,0.59,0.59
update-one_range=100,0.86,0.62,0.60,0.60
update-zipf_range=100,0.86,0.62,0.61,0.60
write-only_range=10000,0.92,0.69,0.68,0.69
