Relative to: x.my5651_rel_o2nofp.z11a_c32r128.pk1
col-1 : x.my5744_rel_o2nofp.z11a_c32r128.pk1
col-2 : x.my8028_rel_o2nofp.z11a_c32r128.pk1
col-3 : x.my8032_rel_o2nofp.z11a_c32r128.pk1
col-4 : x.my8039_rel_o2nofp.z11a_c32r128.pk1
col-5 : x.my8041_rel_o2nofp.z11a_c32r128.pk1

col-1	col-2	col-3	col-4	col-5
0.83	0.56	0.59	0.62	0.63	hot-points_range=100
0.88	0.78	0.77	0.74	0.75	point-query_range=100
0.89	0.68	0.69	0.72	0.72	points-covered-pk_range=100
0.90	0.75	0.73	0.78	0.80	points-covered-si_range=100
0.88	0.68	0.69	0.72	0.73	points-notcovered-pk_range=100
0.90	0.76	0.73	0.77	0.78	points-notcovered-si_range=100
1.04	0.38	0.82	0.86	0.87	random-points_range=1000
0.90	0.68	0.69	0.73	0.73	random-points_range=100
0.86	0.74	0.69	0.68	0.69	random-points_range=10
0.85	0.75	0.69	0.67	0.70	range-covered-pk_range=100
0.85	0.75	0.71	0.68	0.71	range-covered-si_range=100
0.84	0.71	0.66	0.65	0.66	range-notcovered-pk_range=100
0.87	0.79	0.69	0.73	0.74	range-notcovered-si_range=100
1.29	1.07	1.02	1.03	1.05	read-only_range=10000
1.06	0.93	0.88	0.87	0.88	read-only_range=100
0.95	0.84	0.79	0.78	0.79	read-only_range=10
0.87	0.84	0.70	0.67	0.70	scan_range=100
0.77	0.63	0.57	0.56	0.57	delete_range=100
0.82	0.50	0.54	0.52	0.44	insert_range=100
1.02	0.88	0.83	0.82	0.83	read-write_range=100
0.96	0.81	0.76	0.75	0.76	read-write_range=10
1.05	0.93	0.81	0.82	0.76	update-index_range=100
0.91	0.72	0.65	0.66	0.67	update-inlist_range=100
0.78	0.61	0.57	0.56	0.56	update-nonindex_range=100
0.78	0.56	0.57	0.56	0.53	update-one_range=100
0.85	0.67	0.62	0.61	0.62	update-zipf_range=100
1.01	0.84	0.76	0.76	0.75	write-only_range=10000
